S_INFO_WINDCODE,S_INFO_CODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE
000001.SZ,000001,平安银行,19910403,
000002.SZ,000002,万科A,19910129,
000003.SZ,000003,PT金田A(退市),19910703,20020614
000004.SZ,000004,国农科技,19910114,
000005.SZ,000005,世纪星源,19901210,
000006.SZ,000006,深振业A,19920427,
000007.SZ,000007,全新好,19920413,
000008.SZ,000008,神州高铁,19920507,
000009.SZ,000009,中国宝安,19910625,
000010.SZ,000010,美丽生态,19951027,
000011.SZ,000011,深物业A,19920330,
000012.SZ,000012,南玻A,19920228,
000013.SZ,000013,*ST石化A(退市),19920506,20040920
000014.SZ,000014,沙河股份,19920602,
000015.SZ,000015,PT中浩A(退市),19920625,20011022
000016.SZ,000016,深康佳A,19920327,
000017.SZ,000017,深中华A,19920331,
000018.SZ,000018,神州长城,19920616,
000019.SZ,000019,深深宝A,19921012,
000020.SZ,000020,深华发A,19920428,
000021.SZ,000021,深科技,19940202,
000022.SZ,000022,深赤湾A,19930505,
000023.SZ,000023,深天地A,19930429,
000024.SZ,000024,招商地产(退市),19930607,20151230
000025.SZ,000025,特力A,19930621,
000026.SZ,000026,飞亚达A,19930603,
000027.SZ,000027,深圳能源,19930903,
000028.SZ,000028,国药一致,19930809,
000029.SZ,000029,深深房A,19930915,
000030.SZ,000030,富奥股份,19930929,
000031.SZ,000031,中粮地产,19931008,
000032.SZ,000032,深桑达A,19931028,
000033.SZ,000033,*ST新都,19940103,
000034.SZ,000034,神州数码,19940509,
000035.SZ,000035,中国天楹,19940408,
000036.SZ,000036,华联控股,19940617,
000037.SZ,000037,*ST南电A,19940701,
000038.SZ,000038,深大通,19940808,
000039.SZ,000039,中集集团,19940408,
000040.SZ,000040,东旭蓝天,19940808,
000042.SZ,000042,中洲控股,19940921,
000043.SZ,000043,中航地产,19940928,
000045.SZ,000045,深纺织A,19940815,
000046.SZ,000046,泛海控股,19940912,
000047.SZ,000047,ST中侨(退市),19941021,20030530
000048.SZ,000048,康达尔,19941101,
000049.SZ,000049,德赛电池,19950320,
000050.SZ,000050,深天马A,19950315,
000055.SZ,000055,方大集团,19960415,
000056.SZ,000056,皇庭国际,19960708,
000058.SZ,000058,深赛格,19961226,
